# ABOUTME: Frozen per-file parse verdicts; a file that moves in either direction fails the ratchet.
# ABOUTME: Regenerated by `go test ./internal/parseoracle/ -run TestRatchet -parseoracle.update`.
#
# DO NOT EDIT BY HAND. An improvement fails the build too, on purpose:
# the baseline must never silently diverge from reality in either
# direction, so re-running with -parseoracle.update in the same commit
# is how a gain is recorded.
#
# Columns: status metric category path
interpreter = 5.042000
revision    = 94e5086608bcf1d01cd2d836f11ca8378a3320b6
no-answer     0 General        mro/basic_05_dfs_utf8.t
no-answer     6 General        mro/basic_utf8.t
exact         0 -              mro/c3_with_overload.t
exact         0 -              mro/c3_with_overload_utf8.t
exact         0 -              mro/complex_c3.t
no-answer     0 General        mro/complex_c3_utf8.t
exact         0 -              mro/complex_dfs.t
no-answer     0 General        mro/complex_dfs_utf8.t
exact         0 -              mro/dbic_c3.t
no-answer     0 General        mro/dbic_c3_utf8.t
exact         0 -              mro/dbic_dfs.t
no-answer     0 General        mro/dbic_dfs_utf8.t
exact         0 -              mro/inconsistent_c3.t
exact         0 -              mro/inconsistent_c3_utf8.t
exact         1 -              mro/isa_aliases.t
no-answer     1 General        mro/isa_aliases_utf8.t
exact         0 -              mro/isa_c3.t
no-answer     0 General        mro/isa_c3_utf8.t
exact         0 -              mro/isa_dfs.t
no-answer     0 General        mro/isa_dfs_utf8.t
exact         3 -              mro/isarev.t
no-answer     3 QuoteLike      mro/isarev_utf8.t
exact         9 -              mro/method_caching.t
no-answer     5 General        mro/method_caching_utf8.t
exact         0 -              mro/next_NEXT.t
no-answer     0 General        mro/next_NEXT_utf8.t
exact         0 -              mro/next_edgecases.t
exact         0 -              mro/next_edgecases_utf8.t
exact         0 -              mro/next_goto.t
no-answer     0 General        mro/next_goto_utf8.t
exact         0 -              mro/next_inanon.t
exact         0 -              mro/next_inanon_utf8.t
exact         0 -              mro/next_ineval.t
exact         0 -              mro/next_ineval_utf8.t
exact         0 -              mro/next_method.t
exact         0 -              mro/next_method_utf8.t
exact         0 -              mro/next_skip.t
exact         0 -              mro/next_skip_utf8.t
exact         0 -              mro/overload_c3.t
exact         0 -              mro/overload_c3_utf8.t
exact         0 -              mro/overload_dfs.t
exact         6 -              mro/package_aliases.t
no-answer     5 General        mro/package_aliases_utf8.t
exact         0 -              mro/pkg_gen.t
no-answer     0 General        mro/pkg_gen_utf8.t
exact         0 -              mro/recursion_c3.t
no-answer     0 QuoteLike      mro/recursion_c3_utf8.t
exact         0 -              mro/recursion_dfs.t
no-answer     0 QuoteLike      mro/recursion_dfs_utf8.t
exact         0 -              mro/vulcan_c3.t
exact         0 -              mro/vulcan_c3_utf8.t
exact         0 -              mro/vulcan_dfs.t
exact         0 -              mro/vulcan_dfs_utf8.t
no-answer     0 QuoteLike      op/64bitint.t
exact        17 -              op/aassign.t
exact         0 -              op/alarm.t
no-answer     0 Subroutine     op/anonconst.t
exact         1 -              op/anonsub.t
exact         3 -              op/any_all.t
exact         0 -              op/append.t
no-answer     3 ModernFeature  op/args.t
exact         0 -              op/arith2.t
no-answer    19 QuoteLike      op/array.t
exact         1 -              op/assignwarn.t
exact         0 -              op/attrhand.t
exact         4 -              op/attrproto.t
no-answer    20 General        op/attrs.t
exact         0 -              op/auto.t
exact         3 -              op/avhv.t
exact        14 -              op/bless.t
exact         0 -              op/blocks.t
exact         0 -              op/bool.t
no-answer     2 General        op/bop.t
exact         0 -              op/caller.t
exact         2 -              op/catch.t
exact         0 -              op/chars.t
exact         0 -              op/chdir.t
no-answer     0 General        op/chop.t
exact         0 -              op/chr.t
no-answer     5 General        op/closure.t
exact         0 -              op/cmpchain.t
wider         2 -              op/concat2.t
exact         0 -              op/cond.t
no-answer    10 Subroutine     op/const-optree.t
exact         0 -              op/context.t
no-answer    63 General        op/coreamp.t
no-answer     2 Regex          op/coresubs.t
exact         0 -              op/cproto.t
exact         0 -              op/crypt.t
no-answer     7 General        op/current_sub.t
exact         0 -              op/dbm.t
exact         0 -              op/debug.t
no-answer     0 Regex          op/decl-refs.t
exact         0 -              op/defer.t
exact         0 -              op/defined.t
exact         0 -              op/defins.t
exact         2 -              op/delete.t
exact         0 -              op/die.t
exact         0 -              op/die_except.t
exact         0 -              op/die_exit.t
exact         5 -              op/die_goto.t
exact         0 -              op/die_keeperr.t
exact         0 -              op/die_unwind.t
exact         2 -              op/do.t
exact         0 -              op/dor.t
exact         0 -              op/dump.t
no-answer    13 ControlFlow    op/each.t
exact         1 -              op/each_array.t
no-answer     2 ControlFlow    op/eval.t
exact         0 -              op/evalbytes.t
exact         0 -              op/exec.t
no-answer     1 Subroutine     op/exists_sub.t
exact         0 -              op/exp.t
exact         0 -              op/fh.t
exact         1 -              op/filehandle.t
no-answer     4 ControlFlow    op/filetest.t
exact         2 -              op/filetest_stack_ok.t
exact         0 -              op/filetest_t.t
no-answer     1 General        op/flip.t
no-answer     0 -              op/for-many.t
no-answer     4 ControlFlow    op/for.t
exact         1 -              op/fork.t
exact         0 -              op/fresh_perl_utf8.t
exact         0 -              op/getpid.t
exact         0 -              op/getppid.t
exact         0 -              op/glob.t
exact         0 -              op/gmagic.t
no-answer     2 ControlFlow    op/goto-sub.t
no-answer     8 ControlFlow    op/goto.t
excluded      0 -              op/goto_xs.t
exact         0 -              op/grent.t
exact         4 -              op/grep.t
no-answer    14 Regex          op/groups.t
no-answer    66 General        op/gv.t
wider         6 -              op/hash-clear-placeholders.t
exact         1 -              op/hash-rt85026.t
no-answer     4 General        op/hash.t
exact       118 -              op/hashassign.t
exact         0 -              op/hashwarn.t
exact         0 -              op/heredoc.t
no-answer     0 General        op/hexfp.t
exact         0 -              op/hook/require.t
exact        11 -              op/inc.t
exact         0 -              op/inccode-tie.t
no-answer    11 General        op/inccode.t
no-answer    10 Regex          op/incfilter.t
exact         2 -              op/index.t
exact         0 -              op/index_thr.t
exact         0 -              op/infnan.t
exact         0 -              op/int.t
exact         0 -              op/isa.t
exact         5 -              op/join.t
exact         0 -              op/kill0.t
exact         7 -              op/kvaslice.t
exact         6 -              op/kvhslice.t
no-answer     0 Regex          op/lc.t
exact         0 -              op/leaky-magic.t
exact         0 -              op/length.t
no-answer     1 QuoteLike      op/lex.t
exact         5 -              op/lex_assign.t
no-answer    24 General        op/lexsub.t
exact         0 -              op/lfs.t
no-answer     2 General        op/list.t
exact         7 -              op/local.t
no-answer    10 Dereference    op/localref.t
exact         6 -              op/lock.t
no-answer     0 ControlFlow    op/loopctl.t
no-answer     0 General        op/lop.t
no-answer   283 General        op/lvref.t
exact         0 -              op/magic-27839.t
no-answer     3 General        op/magic.t
no-answer     8 ModernFeature  op/method.t
no-answer     0 -              op/mkdir.t
no-answer     2 General        op/multideref.t
exact         0 -              op/my.t
exact         0 -              op/my_stash.t
exact         0 -              op/mydef.t
exact         0 -              op/negate.t
exact         2 -              op/not.t
no-answer     1 General        op/numconvert.t
exact         0 -              op/numify.t
exact         2 -              op/numify_chkflags.t
no-answer     0 General        op/oct.t
wider         1 -              op/or.t
exact         0 -              op/ord.t
exact         0 -              op/overload_integer.t
no-answer     1 General        op/override.t
no-answer    18 General        op/pack.t
exact         0 -              op/packagev.t
exact         0 -              op/pos.t
no-answer    20 General        op/postfixderef.t
exact         0 -              op/pow.t
exact         0 -              op/print.t
no-answer     0 Subroutine     op/protowarn.t
wider         1 -              op/push.t
exact         1 -              op/pwent.t
exact         6 -              op/qr.t
exact         0 -              op/quotemeta.t
exact         0 -              op/rand.t
exact         0 -              op/range.t
exact         0 -              op/read.t
exact         0 -              op/readdir.t
exact         0 -              op/readline.t
exact         0 -              op/readline_nb.t
exact         0 -              op/recurse.t
no-answer    42 General        op/ref.t
no-answer     0 -              op/refstack.t
no-answer     2 General        op/repeat.t
exact         0 -              op/require_37033.t
no-answer     0 Regex          op/require_errors.t
exact         0 -              op/require_gh20577.t
exact         0 -              op/require_override.t
no-answer     1 Subroutine     op/reset.t
exact         0 -              op/reverse.t
no-answer     0 Subroutine     op/rt119311.t
exact         1 -              op/runlevel.t
exact         4 -              op/select.t
exact         0 -              op/setpgrpstack.t
exact         0 -              op/sigdispatch.t
exact         1 -              op/signame_canonical.t
no-answer     0 Subroutine     op/signatures.t
exact         1 -              op/sigsystem.t
exact         0 -              op/sleep.t
exact         0 -              op/smartkve.t
wider         4 -              op/smartmatch.t
no-answer    31 General        op/sort.t
wider         1 -              op/splice.t
no-answer     7 General        op/split.t
exact         0 -              op/split_unicode.t
no-answer     0 Regex          op/sprintf.t
no-answer     0 General        op/sprintf2.t
exact         8 -              op/srand.t
wider         2 -              op/sselect.t
exact        10 -              op/stash.t
exact         0 -              op/stash_parse_gv.t
no-answer     3 -              op/stat.t
exact         0 -              op/stat_errors.t
no-answer     3 General        op/state.t
no-answer     0 Regex          op/study.t
exact         0 -              op/studytied.t
no-answer    15 General        op/sub.t
no-answer    35 Subroutine     op/sub_lval.t
no-answer    12 General        op/substr.t
exact         0 -              op/substr_left.t
exact         0 -              op/substr_thr.t
exact         1 -              op/svflags.t
no-answer     0 Regex          op/svleak.t
no-answer     8 General        op/switch.t
exact         0 -              op/symbolcache.t
exact         0 -              op/sysio.t
no-answer     6 General        op/taint.t
exact         0 -              op/threads-dirh.t
exact         6 -              op/threads.t
exact         1 -              op/tie.t
no-answer     4 ControlFlow    op/tie_fetch_count.t
exact         1 -              op/tiearray.t
exact         2 -              op/tiehandle.t
exact         0 -              op/tiehash.t
no-answer     3 Regex          op/time.t
exact         0 -              op/time_loop.t
no-answer     0 General        op/tr.t
exact         0 -              op/tr_latin1.t
exact         3 -              op/try.t
exact         3 -              op/undef.t
exact         6 -              op/universal.t
exact         0 -              op/unlink.t
wider         1 -              op/unshift.t
exact         0 -              op/upgrade.t
no-answer    11 QuoteLike      op/utf8cache.t
no-answer     0 Regex          op/utf8decode.t
exact         0 -              op/utf8magic.t
no-answer     0 General        op/utfhash.t
exact         1 -              op/utftaint.t
exact         3 -              op/vec.t
exact         5 -              op/ver.t
exact         0 -              op/waitpid.t
exact         0 -              op/wantarray.t
exact         0 -              op/warn.t
no-answer     1 ControlFlow    op/while.t
no-answer    78 General        op/write.t
exact         0 -              op/yadayada.t
no-answer     0 ControlFlow    opbasic/arith.t
exact         4 -              opbasic/cmp.t
exact         1 -              opbasic/concat.t
exact         0 -              opbasic/magic_phase.t
no-answer     0 QuoteLike      opbasic/qq.t
exact         0 -              perf/benchmarks.t
no-answer     0 General        perf/opcount.t
exact         0 -              perf/optree.t
exact         0 -              perf/speed.t
exact         0 -              perf/taint.t
exact         1 -              porting/FindExt.t
no-answer     0 General        porting/args_assert.t
excluded      0 -              porting/authors.t
no-answer     0 General        porting/bench.t
exact         0 -              porting/bench_selftest.t
exact         0 -              porting/bincompat.t
excluded      0 -              porting/checkcase.t
excluded      0 -              porting/checkcfgvar.t
excluded      0 -              porting/cmp_version.t
exact         0 -              porting/copyright.t
excluded      0 -              porting/corelist.t
exact        20 -              porting/cpphdrcheck.t
excluded      0 -              porting/customized.t
excluded      0 -              porting/deprecation.t
excluded      0 -              porting/diag.t
exact         0 -              porting/dual-life.t
exact         0 -              porting/exec-bit.t
excluded      0 -              porting/extrefs.t
exact         0 -              porting/filenames.t
excluded      0 -              porting/globvar.t
excluded      0 -              porting/header_parser.t
exact         3 -              porting/libperl.t
excluded      0 -              porting/maintainers.t
excluded      0 -              porting/makerel.t
excluded      0 -              porting/manifest.t
exact         0 -              porting/merge-deltas.t
excluded      0 -              porting/perlfunc.t
exact         0 -              porting/pod_rules.t
excluded      0 -              porting/podcheck.t
exact         0 -              porting/re_context.t
excluded      0 -              porting/readme.t
excluded      0 -              porting/regen.t
exact         1 -              porting/ss_dup.t
exact         0 -              porting/test_bootstrap.t
excluded      0 -              porting/test_testlist.t
excluded      0 -              porting/update_authors.t
excluded      0 -              porting/utils.t
exact         0 -              re/alpha_assertions.t
no-answer     0 Regex          re/anyof.t
exact         0 -              re/begin-once.t
no-answer     0 -              re/bigfuzzy_not_utf8.t
no-answer     0 Regex          re/charset.t
exact         0 -              re/fold_grind_8.t
exact         0 -              re/fold_grind_T.t
exact         0 -              re/fold_grind_a.t
exact         0 -              re/fold_grind_aa.t
exact         0 -              re/fold_grind_d.t
exact         0 -              re/fold_grind_l.t
exact         0 -              re/fold_grind_u.t
no-answer     0 QuoteLike      re/keep_tabs.t
exact         0 -              re/no_utf8_pm.t
no-answer     1 General        re/opt.t
exact         1 -              re/overload.t
no-answer     9 QuoteLike      re/pat.t
no-answer     6 General        re/pat_advanced.t
exact         0 -              re/pat_advanced_thr.t
error         0 -              re/pat_psycho.t
exact         0 -              re/pat_psycho_thr.t
no-answer     4 QuoteLike      re/pat_re_eval.t
exact         0 -              re/pat_re_eval_thr.t
no-answer     2 General        re/pat_rt_report.t
exact         0 -              re/pat_rt_report_thr.t
no-answer     0 General        re/pat_special_cc.t
exact         0 -              re/pat_special_cc_thr.t
exact         0 -              re/pat_thr.t
exact         0 -              re/pos.t
wider         1 -              re/qr-72922.t
exact         0 -              re/qr.t
exact         0 -              re/qr_gc.t
no-answer     0 QuoteLike      re/qrstack.t
exact         0 -              re/recompile.t
exact         0 -              re/reg_60508.t
no-answer     0 General        re/reg_email.t
exact         0 -              re/reg_email_thr.t
exact         0 -              re/reg_eval.t
exact         3 -              re/reg_eval_scope.t
exact         0 -              re/reg_fold.t
no-answer     9 -              re/reg_mesg.t
exact         0 -              re/reg_namedcapture.t
no-answer     0 Regex          re/reg_nc_tie.t
exact         0 -              re/reg_nocapture.t
exact         0 -              re/reg_pmod.t
exact         0 -              re/reg_posixcc.t
exact         0 -              re/regex_sets.t
exact         0 -              re/regex_sets_compat.t
no-answer     3 Regex          re/regexp.t
exact         0 -              re/regexp_noamp.t
exact         0 -              re/regexp_nonull.t
exact         0 -              re/regexp_normal.t
exact         0 -              re/regexp_notrie.t
exact         0 -              re/regexp_qr.t
exact         0 -              re/regexp_qr_embed.t
exact         0 -              re/regexp_qr_embed_thr.t
exact         0 -              re/regexp_trielist.t
no-answer     0 General        re/regexp_unicode_prop.t
exact         0 -              re/regexp_unicode_prop_thr.t
exact         0 -              re/rt122747.t
no-answer     0 Regex          re/rxcode.t
no-answer     0 QuoteLike      re/script_run.t
no-answer     0 General        re/speed.t
exact         0 -              re/speed_thr.t
exact         0 -              re/stclass_threads.t
no-answer     3 Regex          re/subst.t
exact         0 -              re/substT.t
no-answer     0 Regex          re/subst_amp.t
exact         0 -              re/subst_wamp.t
exact         0 -              re/uniprops01.t
exact         0 -              re/uniprops02.t
exact         0 -              re/uniprops03.t
exact         0 -              re/uniprops04.t
exact         0 -              re/uniprops05.t
exact         0 -              re/uniprops06.t
exact         0 -              re/uniprops07.t
exact         0 -              re/uniprops08.t
exact         0 -              re/uniprops09.t
exact         0 -              re/uniprops10.t
exact         0 -              re/user_prop_race_thr.t
exact         0 -              run/cloexec.t
no-answer     0 -              run/dtrace.t
exact         0 -              run/exit.t
exact         0 -              run/fresh_perl.t
no-answer     1 Regex          run/locale.t
exact         0 -              run/noswitch.t
no-answer     0 General        run/runenv.t
exact         2 -              run/runenv_hashseed.t
exact         0 -              run/runenv_randseed.t
exact         0 -              run/script.t
exact         0 -              run/switch-I-and-M.t
exact         0 -              run/switch0.t
exact         0 -              run/switchC.t
exact         0 -              run/switchDx.t
exact         0 -              run/switchF.t
exact         0 -              run/switchF1.t
exact         0 -              run/switchF2.t
exact         0 -              run/switchI.t
exact         0 -              run/switchM.t
exact         0 -              run/switcha.t
exact         0 -              run/switchd-78586.t
exact         0 -              run/switchd.t
no-answer     0 ControlFlow    run/switches.t
exact         0 -              run/switchn.t
exact         0 -              run/switchp.t
exact         0 -              run/switcht.t
exact         2 -              run/switchx.t
exact         1 -              run/todo.t
exact         0 -              test_pl/_num_to_alpha.t
exact         0 -              test_pl/can_isa_ok.t
exact         0 -              test_pl/display.t
exact         0 -              test_pl/examples.t
exact         0 -              test_pl/plan_skip_all.t
exact         0 -              test_pl/tempfile.t
no-answer    13 Subroutine     uni/attrs.t
exact         7 -              uni/bless.t
no-answer     0 General        uni/caller.t
exact         0 -              uni/chomp.t
no-answer     0 General        uni/class.t
exact         0 -              uni/eval.t
no-answer     0 Regex          uni/fold.t
exact         0 -              uni/goto.t
no-answer     0 -              uni/greek.t
no-answer    57 General        uni/gv.t
exact         0 -              uni/labels.t
no-answer     0 -              uni/latin2.t
exact         0 -              uni/lex_utf8.t
exact         0 -              uni/lower.t
no-answer     1 Subroutine     uni/method.t
exact         0 -              uni/opcroak.t
exact         0 -              uni/overload.t
no-answer     0 General        uni/package.t
no-answer     0 ModernFeature  uni/parser.t
exact         0 -              uni/readline.t
exact         0 -              uni/select.t
exact         0 -              uni/sprintf.t
no-answer    10 General        uni/stash.t
no-answer     0 General        uni/tie.t
exact         0 -              uni/title.t
exact         0 -              uni/tr_utf8.t
no-answer     4 General        uni/universal.t
exact         0 -              uni/upper.t
no-answer     0 QuoteLike      uni/variables.t
no-answer     0 General        uni/write.t
exact         0 -              win32/crypt.t
exact         0 -              win32/fs.t
no-answer     0 -              win32/popen.t
excluded      0 -              win32/runenv.t
exact         0 -              win32/seekdir.t
no-answer     0 -              win32/signal.t
exact         0 -              win32/stat.t
excluded      0 -              win32/symlink.t
no-answer     0 -              win32/system.t
